Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
49,12,3,79,6,Some Random Commen with Id 49
50,12,3,152,7,Some Random Commen with Id 50
51,12,3,26,3,Some Random Commen with Id 51
52,12,3,110,4,Some Random Commen with Id 52
53,12,3,84,2,Some Random Commen with Id 53
54,12,3,68,5,Some Random Commen with Id 54
55,13,9,56,0,Some Random Commen with Id 55
56,13,9,91,4,Some Random Commen with Id 56
57,13,9,67,8,Some Random Commen with Id 57
58,13,9,55,0,Some Random Commen with Id 58
59,13,9,94,1,Some Random Commen with Id 59
60,13,9,14,3,Some Random Commen with Id 60
61,13,9,147,5,Some Random Commen with Id 61
62,13,9,164,0,Some Random Commen with Id 62
63,14,4,100,0,Some Random Commen with Id 63
64,14,4,42,3,Some Random Commen with Id 64
65,14,4,98,0,Some Random Commen with Id 65
66,14,4,120,9,Some Random Commen with Id 66
67,15,9,130,0,Some Random Commen with Id 67
68,15,9,96,5,Some Random Commen with Id 68
69,16,7,166,1,Some Random Commen with Id 69
70,17,3,71,1,Some Random Commen with Id 70
71,18,2,15,4,Some Random Commen with Id 71
72,19,7,84,7,Some Random Commen with Id 72
73,19,7,133,6,Some Random Commen with Id 73
74,19,7,184,4,Some Random Commen with Id 74
75,19,7,28,9,Some Random Commen with Id 75
76,19,7,171,6,Some Random Commen with Id 76
77,19,7,78,1,Some Random Commen with Id 77
78,19,7,191,8,Some Random Commen with Id 78
79,19,7,88,4,Some Random Commen with Id 79
80,20,7,7,4,Some Random Commen with Id 80
81,21,7,8,1,Some Random Commen with Id 81
82,21,7,114,5,Some Random Commen with Id 82
83,21,7,132,8,Some Random Commen with Id 83
84,21,7,52,6,Some Random Commen with Id 84
85,21,7,97,6,Some Random Commen with Id 85
86,21,7,79,9,Some Random Commen with Id 86
87,21,7,20,2,Some Random Commen with Id 87
88,21,7,81,6,Some Random Commen with Id 88
89,21,7,73,7,Some Random Commen with Id 89
90,22,5,181,6,Some Random Commen with Id 90
91,22,5,139,0,Some Random Commen with Id 91
92,22,5,59,7,Some Random Commen with Id 92
93,22,5,104,9,Some Random Commen with Id 93
94,22,5,171,0,Some Random Commen with Id 94
95,22,5,18,7,Some Random Commen with Id 95
96,22,5,65,4,Some Random Commen with Id 96
97,22,5,124,0,Some Random Commen with Id 97
98,23,5,16,0,Some Random Commen with Id 98
99,23,5,16,4,Some Random Commen with Id 99
100,23,5,43,9,Some Random Commen with Id 100
101,23,5,77,0,Some Random Commen with Id 101
102,23,5,107,9,Some Random Commen with Id 102
103,24,7,184,6,Some Random Commen with Id 103
104,24,7,40,7,Some Random Commen with Id 104
105,24,7,184,5,Some Random Commen with Id 105
106,24,7,111,0,Some Random Commen with Id 106
107,24,7,61,2,Some Random Commen with Id 107
108,26,5,28,4,Some Random Commen with Id 108
109,28,4,48,8,Some Random Commen with Id 109
110,29,5,90,6,Some Random Commen with Id 110
111,29,5,190,0,Some Random Commen with Id 111
112,29,5,17,5,Some Random Commen with Id 112
113,29,5,192,1,Some Random Commen with Id 113
114,29,5,13,4,Some Random Commen with Id 114
115,29,5,12,3,Some Random Commen with Id 115
116,30,3,192,9,Some Random Commen with Id 116
117,31,8,190,6,Some Random Commen with Id 117
118,31,8,103,7,Some Random Commen with Id 118
119,33,0,177,2,Some Random Commen with Id 119
120,33,0,151,3,Some Random Commen with Id 120
121,33,0,98,6,Some Random Commen with Id 121
122,33,0,114,5,Some Random Commen with Id 122
123,33,0,146,5,Some Random Commen with Id 123
124,33,0,104,6,Some Random Commen with Id 124
125,33,0,1,8,Some Random Commen with Id 125
126,33,0,146,4,Some Random Commen with Id 126
127,34,3,40,4,Some Random Commen with Id 127
128,34,3,33,4,Some Random Commen with Id 128
129,34,3,37,2,Some Random Commen with Id 129
130,34,3,21,6,Some Random Commen with Id 130
131,35,1,78,4,Some Random Commen with Id 131
132,35,1,165,8,Some Random Commen with Id 132
133,35,1,36,4,Some Random Commen with Id 133
134,36,8,45,0,Some Random Commen with Id 134
135,36,8,190,5,Some Random Commen with Id 135
136,36,8,102,3,Some Random Commen with Id 136
137,37,1,109,4,Some Random Commen with Id 137
138,37,1,140,1,Some Random Commen with Id 138
139,37,1,131,9,Some Random Commen with Id 139
140,37,1,138,4,Some Random Commen with Id 140
141,37,1,111,0,Some Random Commen with Id 141
142,38,4,38,3,Some Random Commen with Id 142
143,38,4,182,7,Some Random Commen with Id 143
144,38,4,118,8,Some Random Commen with Id 144
145,39,6,121,4,Some Random Commen with Id 145
